Group	肝酶正常	肝酶正常	肝酶异常	肝酶异常	肝酶异常	肝酶正常	肝酶正常	肝酶异常
PWY-5005	2.91748719520597e-05	2.72815502156406e-05	2.41748554941593e-05	4.23998751992974e-05	9.43754031347785e-06	3.47033465095592e-05	2.96653772815928e-05	1.50465134503289e-05
PWY-5022	3.30501768981136e-05	5.82623240124575e-05	2.72222430645904e-05	1.47167606173251e-05	1.91272203766524e-05	2.67172671327206e-06	2.24315728790623e-06	5.13671892886046e-06
PWY-5030	2.29529420573685e-05	1.53749868135157e-05	3.51338405794644e-05	4.66090756832233e-05	1.93749485078008e-05	1.83432399632229e-05	1.15008335839426e-05	1.50036381334462e-05
PWY-5083	3.65187016403388e-05	6.3151974638474e-05	4.62776173502188e-05	1.43336375295145e-05	1.62501576737775e-05	2.06241680407681e-06	2.3522725624647e-06	3.86466754948527e-06
PWY-5088	0	1.64554018301235e-07	4.84813997031869e-07	0	0	1.71412411272135e-07	0	0
PWY-5097	0.000506278221372867	0.000466286004158385	0.000527029916532184	0.000571715819869123	0.000531037368648681	0.000675954635113922	0.000719674790743221	0.000589286878865804
PWY-5100	8.85921642732221e-05	9.43723389979562e-05	0.000142593407541819	0.000130557261853083	0.000292833667938371	0.000257124264991723	0.00026819692767618	0.000303997411204644
PWY-5101	5.2927279589989e-05	3.25366011931195e-05	0.000203831667620309	0.000241322297398888	7.87421526016069e-05	3.30537940298655e-05	3.5772996349999e-05	5.42276980854898e-05
PWY-5103	0.000166401326189879	0.00016084038718353	0.000316769417764083	0.000293861506846888	0.000509196126083647	0.000551290581643543	0.00059982841222458	0.000627040693004801
PWY-5104	9.011935822833e-05	9.39855294954065e-05	2.39733183439751e-05	8.45011856184359e-06	0.000168443496893332	0.000113129858739298	0.000129709797934053	0.000127091398986445
PWY-5121	4.49906500509285e-05	3.96373216456661e-05	3.98412621504017e-05	2.09071153569675e-05	3.49803763400348e-05	1.76506082843534e-05	1.49214088323341e-05	2.84934248801794e-05
PWY-5136	1.53375837928828e-05	2.87945208802455e-05	2.5824868365663e-05	1.24058893823762e-05	2.85671952902635e-05	5.27556821049779e-06	3.28409241538e-06	1.28879572144521e-05
PWY-5138	4.18303115983248e-06	1.43370607847151e-05	2.47177666800327e-06	1.85801170668146e-06	4.21607645466881e-06	2.74847621772663e-07	5.15470292000364e-08	3.0337034546379e-06
PWY-5154	0.000178091527187768	0.000111180101728848	0.000213145808611847	0.000157471852391459	0.000131994707854575	8.0998087716226e-05	9.63439366276291e-05	7.94214079414511e-05
PWY-5173	1.17136876832422e-05	1.1695359151463e-05	1.75180723113342e-05	4.7638870540092e-06	7.64838472830521e-06	1.81784950567363e-06	1.87439881240364e-07	2.51281219378919e-06
PWY-5177	1.32410611261747e-05	2.39285505274847e-05	7.08478359031815e-05	9.94235548424772e-05	0.000123171569937166	0.000123625594586639	0.00013777522716635	0.000152727764190964
PWY-5179	1.2132392148429e-07	1.07321474685537e-07	0	0	0	0	0	0
PWY-5180	1.52389175015857e-05	4.54580843094112e-05	0	0	0	7.48938391191516e-07	0	0
PWY-5182	1.52389175015857e-05	4.54580843094112e-05	0	0	0	7.48938391191516e-07	0	0
PWY-5188	0.000145674109130487	0.00017851734948203	0.000145438807451883	8.46479827731784e-05	0.000179178725808044	0.000100360336685798	0.000115864868017936	0.000205928196041152
PWY-5189	3.39079422365755e-05	4.50325742295253e-05	1.6725282301503e-05	4.96073653207249e-06	1.96562240585387e-05	8.88288981372309e-06	9.96020111674379e-06	1.4151612367974e-05
PWY-5265	0	0	1.43832550036177e-06	1.23484284264618e-06	0	0	0	0
PWY-5345	4.00811936372537e-05	4.37265652776615e-05	5.41684083711047e-05	1.97736553642956e-05	3.47297413484774e-05	3.40972747138118e-05	1.99337300013936e-05	7.51866858308494e-06
PWY-5347	0.000142372526888786	0.000153132258598251	0.000152123519938568	7.27599630143234e-05	0.000239516230893253	0.000185452193376598	0.000238647475171071	0.000243565931516233
PWY-5367	0	9.16455986559885e-08	0.000118711673055835	6.23707639831362e-05	9.57078526260219e-05	8.17080287770086e-05	9.10031913993249e-05	0.00011847087896562
PWY-5384	1.147726814029e-05	2.27676408555505e-05	8.40963519640489e-06	3.01194820797333e-06	5.25020931227898e-05	5.72890827302893e-06	5.16794759971573e-06	2.33522920415244e-05
PWY-5415	6.64558106822837e-07	3.25253757050252e-06	5.03225547262048e-06	2.09942014127044e-06	1.21673026187316e-06	1.02638815868869e-07	0	0
